# ratesweep 127.0.0.1:47190 bound 1e-05 1e-09 (A.3 default)
config	epoch_tt	object	lon_err	lat_err	dist_err_au_per_day	dist_err_per_au	flag
geo apparent, true of date, ecliptic	2415020.5	Moon mean perihelion	1.5902e-07	5.7141e-09	9.5692e-14	9.5692e-14	
geo apparent, true of date, ecliptic	2415020.5	Moon osc perihelion	6.6984e-08	3.8711e-09	2.5722e-14	2.5722e-14	
geo apparent, true of date, ecliptic	2415020.5	Moon mean aphelion	6.1656e-08	4.4312e-09	3.7072e-14	3.7072e-14	
geo apparent, true of date, ecliptic	2415020.5	Moon osc aphelion	4.2789e-09	3.2838e-09	3.5644e-13	3.5644e-13	
geo apparent, true of date, ecliptic	2415020.5	Mercury mean asc node	1.0313e-11	7.8930e-12	4.3079e-13	4.3079e-13	
geo apparent, true of date, ecliptic	2415020.5	Mercury osc asc node	1.0711e-10	1.1986e-11	8.2996e-13	8.2996e-13	
geo apparent, true of date, ecliptic	2415020.5	Mercury mean desc node	4.0404e-12	1.4540e-11	8.8328e-13	6.7616e-13	
geo apparent, true of date, ecliptic	2415020.5	Mercury osc desc node	4.3372e-11	1.4167e-11	1.6917e-12	1.2950e-12	
geo apparent, true of date, ecliptic	2415020.5	Mercury mean perihelion	8.8209e-12	2.7251e-11	3.7312e-13	3.7312e-13	
geo apparent, true of date, ecliptic	2415020.5	Mercury osc perihelion	1.2901e-10	3.2205e-11	1.3546e-12	1.3546e-12	
geo apparent, true of date, ecliptic	2415020.5	Mercury mean aphelion	8.3983e-12	1.2412e-11	9.2228e-13	6.4912e-13	
geo apparent, true of date, ecliptic	2415020.5	Mercury osc aphelion	1.1307e-10	5.9567e-12	8.8236e-14	6.2102e-14	
geo apparent, true of date, ecliptic	2415020.5	Venus mean asc node	9.3212e-11	6.0604e-12	1.1940e-12	1.1940e-12	
geo apparent, true of date, ecliptic	2415020.5	Venus osc asc node	1.5501e-10	2.7600e-13	5.1081e-13	5.1081e-13	
geo apparent, true of date, ecliptic	2415020.5	Venus mean desc node	6.8001e-12	1.1070e-11	9.9537e-13	5.9539e-13	
geo apparent, true of date, ecliptic	2415020.5	Venus osc desc node	1.8308e-10	1.1361e-11	1.8755e-12	1.1219e-12	
geo apparent, true of date, ecliptic	2415020.5	Venus mean perihelion	7.2410e-11	1.5405e-11	8.6618e-13	8.6618e-13	
geo apparent, true of date, ecliptic	2415020.5	Venus osc perihelion	1.7482e-09	3.3620e-10	5.7052e-11	5.7052e-11	
geo apparent, true of date, ecliptic	2415020.5	Venus mean aphelion	3.0079e-11	1.1601e-12	1.4456e-12	8.7388e-13	
geo apparent, true of date, ecliptic	2415020.5	Venus osc aphelion	5.8134e-10	2.8794e-10	5.5685e-12	3.3644e-12	
geo apparent, true of date, ecliptic	2415020.5	Mars mean asc node	6.1558e-10	1.2724e-11	8.9465e-12	7.7590e-12	
geo apparent, true of date, ecliptic	2415020.5	Mars osc asc node	2.4891e-11	7.4448e-12	5.7590e-12	4.9948e-12	
geo apparent, true of date, ecliptic	2415020.5	Mars mean desc node	2.7474e-10	7.0025e-12	4.0668e-12	1.7720e-12	
geo apparent, true of date, ecliptic	2415020.5	Mars osc desc node	3.6331e-10	1.2519e-11	5.7624e-13	2.5107e-13	
geo apparent, true of date, ecliptic	2415020.5	Mars mean perihelion	6.7767e-12	1.0284e-11	2.4883e-12	1.1771e-12	
geo apparent, true of date, ecliptic	2415020.5	Mars osc perihelion	1.6807e-10	1.3967e-11	2.3259e-12	1.1003e-12	
geo apparent, true of date, ecliptic	2415020.5	Mars mean aphelion	3.0456e-11	6.0370e-12	7.3999e-13	5.4843e-13	
geo apparent, true of date, ecliptic	2415020.5	Mars osc aphelion	6.6581e-10	9.2088e-12	5.8266e-12	4.3175e-12	
geo apparent, true of date, ecliptic	2415020.5	Jupiter mean asc node	8.7632e-10	2.2071e-11	7.8156e-12	1.8642e-12	
geo apparent, true of date, ecliptic	2415020.5	Jupiter osc asc node	3.1457e-10	2.0900e-12	3.9258e-12	9.3597e-13	
geo apparent, true of date, ecliptic	2415020.5	Jupiter mean desc node	1.6387e-11	1.8256e-11	4.5172e-12	7.2990e-13	
geo apparent, true of date, ecliptic	2415020.5	Jupiter osc desc node	2.8450e-10	1.6374e-11	6.2774e-12	1.0147e-12	
geo apparent, true of date, ecliptic	2415020.5	Jupiter mean perihelion	1.0862e-11	7.4429e-13	7.8498e-13	1.5693e-13	
geo apparent, true of date, ecliptic	2415020.5	Jupiter osc perihelion	7.3447e-10	1.0420e-11	2.9275e-11	5.8447e-12	
geo apparent, true of date, ecliptic	2415020.5	Jupiter mean aphelion	5.7086e-12	3.5821e-12	9.9989e-13	1.7894e-13	
geo apparent, true of date, ecliptic	2415020.5	Jupiter osc aphelion	9.8016e-10	2.4503e-11	1.7391e-11	3.1160e-12	
geo apparent, true of date, ecliptic	2415020.5	Saturn mean asc node	8.6332e-12	3.8468e-12	5.6833e-12	7.0142e-13	
geo apparent, true of date, ecliptic	2415020.5	Saturn osc asc node	8.2575e-10	2.6739e-11	1.4325e-11	1.7555e-12	
geo apparent, true of date, ecliptic	2415020.5	Saturn mean desc node	2.0257e-10	1.9122e-11	9.2198e-13	8.3799e-14	
geo apparent, true of date, ecliptic	2415020.5	Saturn osc desc node	1.1659e-10	1.0981e-11	5.7700e-12	5.2459e-13	
geo apparent, true of date, ecliptic	2415020.5	Saturn mean perihelion	1.8150e-11	1.3376e-11	5.2693e-12	6.5408e-13	
geo apparent, true of date, ecliptic	2415020.5	Saturn osc perihelion	8.1026e-10	5.3010e-11	8.1681e-12	1.0065e-12	
