# ratesweep 127.0.0.1:47392 bound 0.005 0.0001 (advertised)
config	epoch_tt	object	lon_err	lat_err	dist_err	flag
geo apparent, true of date, ecliptic	2451545.0	Mercury	2.6692e-06	5.7653e-06	1.7699e-06	
geo apparent, true of date, ecliptic	2451545.0	Venus	6.3683e-07	5.2771e-06	1.4066e-06	
geo apparent, true of date, ecliptic	2451545.0	Earth	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2451545.0	Mars	2.5032e-07	3.1973e-06	1.1861e-06	
geo apparent, true of date, ecliptic	2451545.0	Jupiter	1.0793e-07	2.6169e-06	4.6221e-07	
geo apparent, true of date, ecliptic	2451545.0	Saturn	1.4764e-07	3.9516e-06	8.9300e-07	
geo apparent, true of date, ecliptic	2451545.0	Uranus	1.3904e-07	4.2862e-06	1.4562e-06	
geo apparent, true of date, ecliptic	2451545.0	Neptune	1.2863e-07	5.0586e-06	1.6296e-06	
geo apparent, true of date, ecliptic	2451545.0	Pluto	5.1037e-07	5.7363e-06	1.5283e-06	
geo apparent, true of date, ecliptic	2451545.0	Moon mean asc node	1.8190e-11	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2451545.0	Moon osc asc node	9.4417e-08	0.0000e+00	2.0188e-11	
geo apparent, true of date, ecliptic	2451545.0	Moon mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2451545.0	Moon osc desc node	9.4407e-08	0.0000e+00	1.5513e-11	
geo apparent, true of date, ecliptic	2451545.0	Moon mean perihelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2451545.0	Moon osc perihelion	2.8476e-06	1.6831e-07	2.9843e-11	
geo apparent, true of date, ecliptic	2451545.0	Moon mean aphelion	1.9114e-08	5.6818e-06	4.0708e-16	
geo apparent, true of date, ecliptic	2451545.0	Moon osc aphelion	2.8138e-06	1.6607e-07	2.0576e-12	
geo apparent, true of date, ecliptic	2451545.0	Mercury mean asc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2451545.0	Mercury osc asc node	7.3753e-09	7.0829e-06	1.3985e-06	
geo apparent, true of date, ecliptic	2451545.0	Mercury mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2451545.0	Mercury osc desc node	8.4308e-09	4.4764e-06	1.7076e-06	
geo apparent, true of date, ecliptic	2451545.0	Mercury mean perihelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2451545.0	Mercury osc perihelion	8.6408e-09	8.2231e-06	1.2435e-06	
geo apparent, true of date, ecliptic	2451545.0	Mercury mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2451545.0	Mercury osc aphelion	3.4256e-09	4.1176e-06	1.7569e-06	
geo apparent, true of date, ecliptic	2451545.0	Venus mean asc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2451545.0	Venus osc asc node	1.1972e-09	1.3493e-05	5.7136e-07	
geo apparent, true of date, ecliptic	2451545.0	Venus mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2451545.0	Venus osc desc node	8.2004e-09	3.5031e-06	1.7468e-06	
geo apparent, true of date, ecliptic	2451545.0	Venus mean perihelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2451545.0	Venus osc perihelion	8.3611e-09	1.1075e-05	6.6628e-07	
geo apparent, true of date, ecliptic	2451545.0	Venus mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2451545.0	Venus osc aphelion	2.8557e-08	3.5494e-06	1.7208e-06	
geo apparent, true of date, ecliptic	2451545.0	Mars mean asc node	9.0949e-13	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2451545.0	Mars osc asc node	4.8500e-09	5.1318e-06	7.6129e-08	
geo apparent, true of date, ecliptic	2451545.0	Mars mean desc node	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2451545.0	Mars osc desc node	8.4315e-09	2.5368e-06	1.5153e-06	
geo apparent, true of date, ecliptic	2451545.0	Mars mean perihelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2451545.0	Mars osc perihelion	4.4006e-09	2.7967e-06	1.4816e-06	
geo apparent, true of date, ecliptic	2451545.0	Mars mean aphelion	0.0000e+00	0.0000e+00	0.0000e+00	
geo apparent, true of date, ecliptic	2451545.0	Mars osc aphelion	3.0546e-08	4.2515e-06	6.8592e-08	
geo apparent, true of date, ecliptic	2451545.0	Jupiter mean asc node	1.0914e-11	0.0000e+00	0.0000e+00	
