surfaces		corrmask 7 observers						27	3								differs	
same	2469807.5	199	geo	ICRF	equator	0	69.2	269.3119151391/-20.2952591533	269.3119150893/-20.2952590882			2.886e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2469807.5	299	geo	ICRF	equator	0	69.2	281.5337556195/-23.6176702989	281.5337556599/-23.6176703260			1.651e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2469807.5	4	geo	ICRF	equator	0	69.2	224.7827785041/-16.1721270877	224.7827785728/-16.1721271016			2.427e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2469807.5	5	geo	ICRF	equator	0	69.2	123.3114884848/20.3805018352	123.3114884667/20.3805018326			6.199e-05			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2469807.5	6	geo	ICRF	equator	0	69.2	298.9592165661/-20.9758206231	298.9592165464/-20.9758205339			3.280e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2469807.5	7	geo	ICRF	equator	0	69.2	171.1470715043/4.6723810400	171.1470714542/4.6723810009			2.283e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2469807.5	8	geo	ICRF	equator	0	69.2	50.9656424433/16.7855409666	50.9656424000/16.7855409357			1.862e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2469807.5	9	geo	ICRF	equator	0	69.2	343.5537180010/-20.7440339268	343.5537179759/-20.7440339168			9.177e-05			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2488069.5	10	geo	ICRF	equator	0	69.2	280.0223742437/-23.1066831409	280.0223742526/-23.1066831036			1.376e-04			0.00210319463	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2488069.5	301	geo	ICRF	equator	0	69.2	158.1900101459/10.3218283615	158.1900115736/10.3218276232			0.00571271738			0.002	2	expected-difference	DE440 against Swiss .se1 (DE441 refit); each server inside its own Horizons band here, so the gap is their sources' (DE440 vs DE441 / the .se1 refit)
same	2488069.5	199	geo	ICRF	equator	0	69.2	288.3048303837/-24.4901345027	288.3048304198/-24.4901344708			1.650e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2488069.5	299	geo	ICRF	equator	0	69.2	321.7064398616/-16.9801679029	321.7064397283/-16.9801679619			5.056e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2488069.5	4	geo	ICRF	equator	0	69.2	25.7829523802/11.6911811849	25.7829524638/11.6911812380			3.512e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2488069.5	5	geo	ICRF	equator	0	69.2	198.7770577932/-6.5603959384	198.7770578694/-6.5603960124			3.809e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2488069.5	6	geo	ICRF	equator	0	69.2	203.3419072078/-7.1379495665	203.3419070829/-7.1379495031			5.010e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2488069.5	7	geo	ICRF	equator	0	69.2	15.3035193707/5.8411043525	15.3035193551/5.8411043016			1.918e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2488069.5	8	geo	ICRF	equator	0	69.2	167.3892974482/6.4511423233	167.3892974847/6.4511422626			2.548e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
same	2488069.5	9	geo	ICRF	equator	0	69.2	34.7032808863/-4.0793331584	34.7032808227/-4.0793331499			2.304e-04			0.002	2	agree	DE440 against Swiss .se1 (DE441 refit)
horizons	2378496.5	10	geo	ICRF	equator	1	69.2										expected-difference	errCode ours 0 theirs 3; outside one server's coverage (errCode 3)
horizons	2378496.5	301	geo	ICRF	equator	1	69.2										expected-difference	errCode ours 0 theirs 3; outside one server's coverage (errCode 3)
horizons	2378496.5	199	geo	ICRF	equator	1	69.2										expected-difference	errCode ours 0 theirs 3; outside one server's coverage (errCode 3)
horizons	2378496.5	299	geo	ICRF	equator	1	69.2										expected-difference	errCode ours 0 theirs 3; outside one server's coverage (errCode 3)
horizons	2378496.5	4	geo	ICRF	equator	1	69.2										expected-difference	errCode ours 0 theirs 3; outside one server's coverage (errCode 3)
horizons	2378496.5	5	geo	ICRF	equator	1	69.2										expected-difference	errCode ours 0 theirs 3; outside one server's coverage (errCode 3)
horizons	2378496.5	6	geo	ICRF	equator	1	69.2										expected-difference	errCode ours 0 theirs 3; outside one server's coverage (errCode 3)
horizons	2378496.5	7	geo	ICRF	equator	1	69.2										expected-difference	errCode ours 0 theirs 3; outside one server's coverage (errCode 3)
horizons	2378496.5	8	geo	ICRF	equator	1	69.2										expected-difference	errCode ours 0 theirs 3; outside one server's coverage (errCode 3)
horizons	2378496.5	9	geo	ICRF	equator	1	69.2										expected-difference	errCode ours 0 theirs 3; outside one server's coverage (errCode 3)
horizons	2415020.5	10	geo	ICRF	equator	1	69.2	282.5592914232/-22.9495641972	282.5592914285/-22.9495641536	282.5592914230/-22.9495641970	Horizons geo-sun q1	1.580e-04	1.002e-06	1.572e-04	ours 0.0001 theirs 0.002103	2	agree	
horizons	2415020.5	301	geo	ICRF	equator	1	69.2	274.1218342302/-22.2893396083	274.1218350757/-22.2893395246	274.1218351030/-22.2893395130	Horizons geo-moon q1	0.00283243716	0.00292742271	1.001e-04	ours 0.03 theirs 0.030000	2	agree	
horizons	2415020.5	199	geo	ICRF	equator	1	69.2	259.6359701004/-21.9809512584	259.6359701442/-21.9809512119	259.6359701000/-21.9809512580	Horizons geo-mercury q1	2.221e-04	2.090e-06	2.218e-04	ours 0.0001 theirs 0.002000	2	agree	
horizons	2415020.5	299	geo	ICRF	equator	1	69.2	310.6459104392/-19.9615362921	310.6459103138/-19.9615362407	310.6459104390/-19.9615362920	Horizons geo-venus q1	4.630e-04	8.753e-07	4.622e-04	ours 0.0001 theirs 0.002000	2	agree	
